ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415061199.46588,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,34369,30748,30739,2541,72489
1415061199.46588,pg_catalog,pg_type,pg_type_typname_nsp_index,2597,2058,1853,1517,5457
1415061199.46588,pg_catalog,pg_type,pg_type_oid_index,136701,136415,136415,2375,278031
1415061199.46588,pg_toast,pg_toast_2619,pg_toast_2619_index,4705,15276,15276,377,5452
1415061199.46588,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2618,pg_toast_2618_index,2695,8620,8620,368,3952
1415061199.46588,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415061199.46588,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_authid,pg_authid_oid_index,6428,6428,6428,1596,11260
1415061199.46588,pg_catalog,pg_authid,pg_authid_rolname_index,6370,6370,6370,1520,11220
1415061199.46588,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,172464,333573,333405,4741,350451
1415061199.46588,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,137,137,137,193,2537
1415061199.46588,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,9480,42734,42734,3466,21599
1415061199.46588,pg_catalog,pg_proc,pg_proc_oid_index,62039,62039,62039,5142,125126
1415061199.46588,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1415061199.46588,pg_catalog,pg_constraint,pg_constraint_oid_index,50,24,24,8,118
1415061199.46588,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,8,44
1415061199.46588,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,8,44
1415061199.46588,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,8,44
1415061199.46588,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
