ctime,relname,pid,mode,granted
1415061849.15068,pg_locks,11600,AccessShareLock,t
1415061849.15068,pg_stat_all_indexes,11602,AccessShareLock,t
1415061849.15068,pg_stat_database,11604,AccessShareLock,t
1415061849.15068,pg_statio_all_tables,11603,AccessShareLock,t
1415061909.16018,lineitem,11650,AccessShareLock,t
1415061909.16018,lineitem_l_orderkey_idx,11650,AccessShareLock,t
1415061909.16018,lineitem_l_orderkey_idx_l_returnflag,11650,AccessShareLock,t
1415061909.16018,lineitem_l_orderkey_idx_part1,11650,AccessShareLock,t
1415061909.16018,lineitem_l_orderkey_idx_part2,11650,AccessShareLock,t
1415061909.16018,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,11650,AccessShareLock,t
1415061909.16018,lineitem_l_partkey_l_quantity_l_shipmode_idx,11650,AccessShareLock,t
1415061909.16018,lineitem_l_shipdate_l_suppkey__idx,11650,AccessShareLock,t
1415061909.16018,nation,11650,AccessShareLock,t
1415061909.16018,orders,11650,AccessShareLock,t
1415061909.16018,orders_o_orderdate_o_orderkey_idx,11650,AccessShareLock,t
1415061909.16018,orders_o_orderkey_o_orderdate_idx,11650,AccessShareLock,t
1415061909.16018,part,11650,AccessShareLock,t
1415061909.16018,part_p_container_p_brand_p_partkey_idx,11650,AccessShareLock,t
1415061909.16018,part_p_name_idx,11650,AccessShareLock,t
1415061909.16018,part_p_size_idx,11650,AccessShareLock,t
1415061909.16018,part_p_type_p_partkey_idx,11650,AccessShareLock,t
1415061909.16018,partsupp,11650,AccessShareLock,t
1415061909.16018,partsupp_ps_suppkey_idx,11650,AccessShareLock,t
1415061909.16018,pg_locks,11672,AccessShareLock,t
1415061909.16018,pg_stat_all_indexes,11674,AccessShareLock,t
1415061909.16018,pg_stat_all_tables,11673,AccessShareLock,t
1415061909.16018,pg_stat_database,11675,AccessShareLock,t
1415061909.16018,pg_statio_all_indexes,11674,AccessShareLock,t
1415061909.16018,pg_statio_all_tables,11673,AccessShareLock,t
1415061909.16018,pk_lineitem,11650,AccessShareLock,t
1415061909.16018,pk_nation,11650,AccessShareLock,t
